"network","mask_fraction","method","dat","approach","F_norm","n_reps"
"Animal-Network.txt",0.1,"cov","n01","Decom",0.391283,20
"Animal-Network.txt",0.1,"cov","n01","Direct",0.400741,20
"Animal-Network.txt",0.1,"ncd","n01","Decom",0.391283,20
"Animal-Network.txt",0.1,"ncd","n01","Direct",0.400741,20
"Animal-Network.txt",0.25,"cov","n01","Decom",0.409597,20
"Animal-Network.txt",0.25,"cov","n01","Direct",0.439721,20
"Animal-Network.txt",0.25,"ncd","n01","Decom",0.409597,20
"Animal-Network.txt",0.25,"ncd","n01","Direct",0.439721,20
"Animal-Network.txt",0.4,"cov","n01","Decom",0.431372,20
"Animal-Network.txt",0.4,"cov","n01","Direct",0.491886,20
"Animal-Network.txt",0.4,"ncd","n01","Decom",0.431372,20
"Animal-Network.txt",0.4,"ncd","n01","Direct",0.491886,20
"Animal-Network.txt",0.55,"cov","n01","Decom",0.459675,20
"Animal-Network.txt",0.55,"cov","n01","Direct",0.569399,20
"Animal-Network.txt",0.55,"ncd","n01","Decom",0.459675,20
"Animal-Network.txt",0.55,"ncd","n01","Direct",0.569399,20
"Animal-Network.txt",0.7,"cov","n01","Decom",0.499912,20
"Animal-Network.txt",0.7,"cov","n01","Direct",0.697475,20
"Animal-Network.txt",0.7,"ncd","n01","Decom",0.499913,20
"Animal-Network.txt",0.7,"ncd","n01","Direct",0.697476,20
